zip_code,average_donation_amount
4,103.71
1801,309.27
2128,51.8
7901,51.8
10021,78.36
10541,26.06
10567,25.0
10579,34.65
10598,37.5
12590,12.0
15216,12.0
18020,12.67
20012,50.0
22031,706.39
22206,103.3
23225,35.0
30008,103.3
30308,58.0
32931,103.3
33149,520.6
33436,100.0
34110,25.0
34747,150.0
37415,103.3
38117,26.06
43235,25.0
45277,250.0
46204,550.0
50401,150.0
51573,50.0
52593,103.3
53014,25.0
53018,51.8
53032,26.06
53037,66.74
53038,37.5
53039,129.43
53050,51.8
53051,26.06
53066,100.0
53072,95.17
53073,12.67
53090,310.89
53092,25.0
53094,51.36
53115,26.06
53132,26.06
53140,25.0
53147,17.56
53154,64.84
53183,26.06
53186,51.8
53188,300.0
53190,25.53
53202,539.51
53209,50.0
53211,26.06
53217,52.39
53219,12.0
53227,25.0
53228,26.06
53232,103.3
53289,51.8
53391,75.0
53456,170.0
53502,64.99
53503,93.65
53504,51.8
53505,51.85
53507,214.2
53508,83.75
53511,47.86
53515,79.92
53516,127.19
53517,78.84
53520,48.32
53521,100.53
53522,59.57
53523,139.99
53524,52.01
53527,72.03
53528,60.86
53529,154.77
53530,34.53
53531,65.11
53532,84.94
53533,60.21
53534,66.16
53535,26.13
53536,41.26
53537,300.0
53538,62.88
53541,50.0
53545,65.28
53546,44.06
53547,25.0
53548,40.89
53549,29.95
53551,59.76
53554,12.0
53555,90.04
53556,40.68
53557,50.0
53558,96.94
53559,43.82
53560,63.1
53561,68.21
53562,131.79
53563,56.79
53565,74.91
53566,53.79
53569,51.83
53570,50.78
53571,22.98
53572,63.45
53574,101.45
53575,89.52
53576,18.59
53577,50.0
53578,43.37
53579,26.06
53581,42.17
53582,25.53
53583,108.53
53586,50.0
53587,25.29
53588,55.32
53589,59.43
53590,109.24
53592,309.27
53593,137.35
53594,59.19
53595,26.06
53597,86.91
53598,71.82
53603,103.3
53632,12.0
53634,41.5
53646,100.0
53689,50.0
53690,50.0
53701,100.0
53703,133.43
53704,77.52
53705,89.58
53707,150.0
53708,0.0
53711,115.74
53713,119.98
53714,59.99
53715,94.19
53716,85.55
53717,71.75
53718,60.24
53719,70.29
53722,75.0
53725,300.0
53726,81.64
53727,25.0
53728,72.02
53736,50.0
53744,26.06
53775,51.8
53794,3500.0
53803,26.16
53804,25.71
53805,24.0
53806,103.3
53809,26.13
53811,34.29
53813,26.06
53816,75.0
53818,56.96
53820,60.46
53827,50.0
53901,48.5
53911,175.35
53913,37.17
53916,18.54
53920,25.75
53923,26.08
53925,49.47
53930,36.35
53932,31.45
53940,12.67
53941,81.68
53948,37.95
53949,64.3
53950,51.8
53952,34.64
53954,28.2
53955,90.2
53956,64.7
53959,167.53
53960,58.07
53963,59.16
53964,31.08
53965,47.68
53968,12.67
53998,25.0
54115,50.0
54313,129.54
54501,121.53
54548,26.13
54590,25.0
54618,51.8
54634,116.17
54637,26.06
54646,21.0
54664,25.0
54703,51.96
54705,77.86
54801,25.0
54937,12.67
54942,550.0
54943,26.06
54956,12.0
54982,26.06
55076,103.3
55104,26.06
55112,103.6
55304,51.8
55369,52.34
55407,100.0
55423,103.6
60093,26.06
60148,26.06
60480,51.8
60516,100.0
60586,12.67
60646,25.0
60660,103.3
61021,25.0
61089,51.8
63303,135.22
63537,103.6
63705,103.3
63726,51.8
70124,26.06
77406,50.0
77407,3437.5
78758,20.91
80221,51.8
81004,26.06
81631,103.3
85048,26.06
85338,25.0
85629,208.43
91942,26.06
92118,50.0
94941,25.0
95116,100.0
98112,100.0
