zip_code,Campaign_with_highest_count,Count
4,2021 Diaper Drive Golf Outing invite,1
1801,Bottoms Up Ball Invitation,1
2128,2021 Diaper Drive Golf Outing invite,1
7901,2021 Diaper Drive Golf Outing invite,1
10021,Bottoms Up Ball Invitation,1
10541,2021 Diaper Drive Golf Outing invite,1
10567,2021 Diaper Drive Golf Outing invite,3
10579,2021 Diaper Drive Golf Outing invite,8
10598,2021 Diaper Drive Golf Outing invite,2
12590,2021 Diaper Drive Golf Outing invite,1
15216,2021 Diaper Drive Golf Outing invite,1
18020,2021 Diaper Drive Golf Outing invite,1
20012,2021 Diaper Drive Golf Outing invite,1
22031,Diaper Need Awareness Week,1
22206,2021 Diaper Drive Golf Outing invite,1
23225,Bottoms Up Ball Invitation,1
30008,Bottoms Up Ball Invitation,1
30308,2021 Diaper Drive Golf Outing invite,1
32931,Bottoms Up Ball Invitation,1
33149,2021 Diaper Drive Golf Outing invite,1
33436,2021 Diaper Drive Golf Outing invite,1
34110,2021 Diaper Drive Golf Outing invite,1
34747,2021 Diaper Drive Golf Outing invite,1
37415,Bottoms Up Ball Invitation,1
38117,2021 Diaper Drive Golf Outing invite,1
43235,2021 Diaper Drive Golf Outing invite,1
45277,2021 Diaper Drive Golf Outing invite,1
46204,2021 Diaper Drive Golf Outing invite,1
50401,2021 Diaper Drive Golf Outing invite,1
51573,2021 Diaper Drive Golf Outing invite,1
52593,2021 Diaper Drive Golf Outing invite,1
53014,2021 Diaper Drive Golf Outing invite,1
53018,Bottoms Up Ball Invitation,1
53032,2021 Diaper Drive Golf Outing invite,1
53037,2021 Diaper Drive Golf Outing invite,1
53038,Bottoms Up Ball Invitation,2
53039,Bottoms Up Ball Invitation,2
53050,2021 Diaper Drive Golf Outing invite,1
53051,2021 Diaper Drive Golf Outing invite,1
53066,2021 Diaper Drive Golf Outing invite,1
53072,2021 Diaper Drive Golf Outing invite,3
53073,2021 Diaper Drive Golf Outing invite,1
53090,Bottoms Up Ball Invitation,1
53092,2021 Diaper Drive Golf Outing invite,1
53094,Bottoms Up Ball Invitation,5
53115,2021 Diaper Drive Golf Outing invite,1
53132,2021 Diaper Drive Golf Outing invite,1
53140,2021 Diaper Drive Golf Outing invite,1
53147,Bottoms Up Ball Invitation,2
53154,2021 Diaper Drive Golf Outing invite,2
53183,2021 Diaper Drive Golf Outing invite,1
53186,2021 Diaper Drive Golf Outing invite,1
53188,2021 Diaper Drive Golf Outing invite,1
53190,2021 Diaper Drive Golf Outing invite,2
53202,Bottoms Up Ball Invitation,2
53209,2021 Diaper Drive Golf Outing invite,1
53211,2021 Diaper Drive Golf Outing invite,1
53217,Bottoms Up Ball Invitation,1
53219,2021 Diaper Drive Golf Outing invite,1
53227,2021 Diaper Drive Golf Outing invite,1
53228,2021 Diaper Drive Golf Outing invite,1
53232,2021 Diaper Drive Golf Outing invite,1
53289,2021 Diaper Drive Golf Outing invite,1
53391,Bottoms Up Ball Invitation,1
53456,Bottoms Up Ball Invitation,1
53502,2021 Diaper Drive Golf Outing invite,4
53503,2021 Diaper Drive Golf Outing invite,3
53504,Bottoms Up Ball Invitation,1
53505,2021 Diaper Drive Golf Outing invite,1
53507,Bottoms Up Ball Invitation,6
53508,Bottoms Up Ball Invitation,27
53511,Bottoms Up Ball Invitation,13
53515,Bottoms Up Ball Invitation,7
53516,Bottoms Up Ball Invitation,7
53517,Bottoms Up Ball Invitation,11
53520,Bottoms Up Ball Invitation,8
53521,Bottoms Up Ball Invitation,7
53522,2021 Diaper Drive Golf Outing invite,5
53523,Bottoms Up Ball Invitation,31
53524,2021 Diaper Drive Golf Outing invite,1
53527,Bottoms Up Ball Invitation,44
53528,Bottoms Up Ball Invitation,27
53529,Bottoms Up Ball Invitation,12
53530,Bottoms Up Ball Invitation,4
53531,Bottoms Up Ball Invitation,23
53532,Bottoms Up Ball Invitation,82
53533,Bottoms Up Ball Invitation,18
53534,Bottoms Up Ball Invitation,22
