zip_code,Campaign_with_highest_sum,Sum
4,2021 Diaper Drive Golf Outing invite,103.71
1801,Bottoms Up Ball Invitation,309.27
2128,2021 Diaper Drive Golf Outing invite,51.8
7901,2021 Diaper Drive Golf Outing invite,51.8
10021,Bottoms Up Ball Invitation,78.36
10541,2021 Diaper Drive Golf Outing invite,26.06
10567,2021 Diaper Drive Golf Outing invite,75.0
10579,2021 Diaper Drive Golf Outing invite,277.17
10598,2021 Diaper Drive Golf Outing invite,75.0
12590,2021 Diaper Drive Golf Outing invite,12.0
15216,2021 Diaper Drive Golf Outing invite,12.0
18020,2021 Diaper Drive Golf Outing invite,12.67
20012,2021 Diaper Drive Golf Outing invite,50.0
22031,Diaper Need Awareness Week,706.39
22206,2021 Diaper Drive Golf Outing invite,103.3
23225,Bottoms Up Ball Invitation,35.0
30008,Bottoms Up Ball Invitation,103.3
30308,2021 Diaper Drive Golf Outing invite,58.0
32931,Bottoms Up Ball Invitation,103.3
33149,2021 Diaper Drive Golf Outing invite,520.6
33436,2021 Diaper Drive Golf Outing invite,100.0
34110,2021 Diaper Drive Golf Outing invite,25.0
34747,2021 Diaper Drive Golf Outing invite,150.0
37415,Bottoms Up Ball Invitation,103.3
38117,2021 Diaper Drive Golf Outing invite,26.06
43235,2021 Diaper Drive Golf Outing invite,25.0
45277,2021 Diaper Drive Golf Outing invite,250.0
46204,2021 Diaper Drive Golf Outing invite,550.0
50401,2021 Diaper Drive Golf Outing invite,150.0
51573,2021 Diaper Drive Golf Outing invite,50.0
52593,2021 Diaper Drive Golf Outing invite,103.3
53014,2021 Diaper Drive Golf Outing invite,25.0
53018,Bottoms Up Ball Invitation,51.8
53032,2021 Diaper Drive Golf Outing invite,26.06
53037,2021 Diaper Drive Golf Outing invite,66.74
53038,Bottoms Up Ball Invitation,75.0
53039,Bottoms Up Ball Invitation,258.86
53050,2021 Diaper Drive Golf Outing invite,51.8
53051,2021 Diaper Drive Golf Outing invite,26.06
53066,2021 Diaper Drive Golf Outing invite,100.0
53072,2021 Diaper Drive Golf Outing invite,308.09
53073,2021 Diaper Drive Golf Outing invite,12.67
53090,Bottoms Up Ball Invitation,310.89
53092,2021 Diaper Drive Golf Outing invite,25.0
53094,Bottoms Up Ball Invitation,296.18
53115,2021 Diaper Drive Golf Outing invite,26.06
53132,2021 Diaper Drive Golf Outing invite,26.06
53140,2021 Diaper Drive Golf Outing invite,25.0
53147,Bottoms Up Ball Invitation,32.67
53154,2021 Diaper Drive Golf Outing invite,129.68
53183,2021 Diaper Drive Golf Outing invite,26.06
53186,2021 Diaper Drive Golf Outing invite,51.8
53188,2021 Diaper Drive Golf Outing invite,300.0
53190,2021 Diaper Drive Golf Outing invite,51.06
53202,Bottoms Up Ball Invitation,1309.27
