Zip Code,Bottoms Up Ball Invitation,2021 Diaper Drive Golf Outing invite,Diaper Need Awareness Week,Register today for the 2nd Annual Diaper Drive Golf Outing!
53558,87,62,3,1
53527,44,29,1,0
53561,6,5,1,0
53715,19,14,3,0
53711,272,185,31,1
77406,1,1,1,0
92118,1,1,1,0
53523,31,20,4,2
53719,158,108,15,0
77407,3,3,3,0
53508,27,24,4,0
53703,55,37,13,0
53705,115,72,12,0
30308,1,1,1,0
53701,1,1,1,0
53188,1,1,1,0
53037,1,1,1,1
53726,16,9,2,0
54501,2,2,1,1
53593,168,116,17,0
54115,1,1,1,0
53704,186,130,13,0
55423,1,1,1,0
53717,75,50,9,0
53965,8,5,1,0
53072,3,3,1,0
53716,112,85,5,0
53718,96,70,3,0
53555,26,17,2,0
53572,41,26,2,0
53597,86,59,5,0
53713,43,27,6,0
53590,209,150,6,0
53575,83,54,4,0
53066,1,1,1,0
53562,173,122,16,0
53574,15,11,1,0
53154,2,2,2,0
20012,1,1,1,0
53794,1,1,1,0
34747,1,1,1,0
45277,1,1,1,0
53532,82,59,1,0
53714,71,51,1,0
53551,19,14,1,0
46204,1,1,1,0
91942,1,1,1,0
53901,11,7,1,0
53583,15,11,1,0
53132,1,1,1,0
53517,11,6,0,0
53186,1,1,0,0
53925,27,21,0,0
22206,1,1,0,0
53545,22,13,0,0
53820,4,2,0,0
53531,23,18,0,0
33436,1,1,0,0
55076,1,1,0,0
53818,7,6,0,0
53522,5,5,0,0
53503,3,3,0,0
53563,11,10,0,0
55369,1,1,0,0
55407,1,1,0,0
53941,5,5,0,0
53565,5,6,0,0
53209,1,1,0,0
53050,1,1,0,0
53533,18,12,0,0
53502,4,4,0,0
53570,9,8,0,0
53560,6,6,0,0
53963,4,3,0,0
53537,1,1,0,0
53646,1,1,0,0
53507,6,4,0,0
54618,2,2,0,0
53634,1,1,0,0
53725,1,1,0,0
53955,13,10,0,0
53707,1,1,0,0
51573,1,1,0,0
61089,1,1,0,0
53775,1,1,0,0
60660,1,1,0,0
53806,1,1,0,0
53911,2,1,0,0
50401,1,1,0,0
53689,1,1,0,0
53289,1,1,0,0
53557,1,1,0,0
53524,1,1,0,0
85629,1,1,0,0
4,1,1,0,0
52593,1,1,0,0
7901,1,1,0,0
53950,1,1,0,0
63537,1,1,0,0
53603,1,1,0,0
54313,1,1,0,0
53586,1,1,0,0
33149,1,1,0,0
55304,1,1,0,0
2128,1,1,0,0
63705,1,0,0,0
53505,1,1,0,0
53232,1,1,0,0
98112,1,1,0,0
