Zip.Code,Number of people
53558,89
53527,46
53561,6
53715,20
53711,280
77406,1
92118,1
53523,30
53719,161
77407,2
53508,27
53703,59
53705,116
30308,1
53701,1
53188,1
53037,1
53726,16
54501,2
53593,170
54115,1
53704,188
55423,1
53717,79
53965,8
53072,3
53716,118
53718,102
53555,27
53572,41
53597,88
53713,44
53590,215
53575,84
53066,1
53562,178
53574,15
53154,2
20012,1
53794,1
34747,1
45277,1
53532,83
53714,72
53551,20
46204,1
91942,1
53901,11
53583,15
53132,1
53517,11
53186,1
53925,27
22206,1
53545,22
53820,4
53531,23
33436,1
55076,1
53818,7
53522,6
53503,4
53563,12
55369,1
55407,1
53941,5
53565,7
53209,1
53050,1
53533,18
53502,5
53570,10
53560,6
53963,4
53537,1
53646,1
53507,6
54618,2
53634,1
53725,1
53955,13
53707,1
51573,1
61089,1
53775,1
60660,1
53806,1
53911,2
50401,1
53689,1
53289,1
53557,1
53524,1
85629,1
4,1
52593,1
7901,1
53950,1
63537,1
53603,1
54313,1
53586,1
33149,1
55304,1
2128,1
63705,1
53505,1
53232,1
98112,1
