Account.ID,Avg_Open_Count,Avg_Email_Link_Click_Count,Avg_Response_Time,Donation_Frequency,Total_Donation_Amount,Donor_Score,Engagement Type,Donation Type,State.Province,Zip.Code
8,1.0,0.0,0.0,3,300.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53538
9,18.5,1.5,949629.5,4,100.0,30.99864780730148,High Engagement,High Donation,Wisconsin,53578
12,2.0,1.0,1173475.0,4,2802.48,29.005603693050514,High Engagement,High Donation,Wisconsin,53558
15,15.0,6.0,0.0,3,90.0,36.87127824988349,High Engagement,High Donation,Wisconsin,53527
18,3.0,0.0,0.0,3,300.0,19.99157721985217,High Engagement,High Donation,Wisconsin,53529
32,1.0,0.0,0.0,3,306.06,19.923983879650873,High Engagement,High Donation,Wisconsin,53561
47,0.0,0.0,0.0,3,1800.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53715
49,1.0,0.0,0.0,3,900.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53711
50,0.0,0.0,0.0,3,150.0,19.890187209550223,High Engagement,High Donation,Texas,77406
51,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,California,92118
53,9.5,2.0,491794.0,3,600.0,25.565203302387147,High Engagement,High Donation,Wisconsin,53523
54,0.0,0.0,0.0,2,1000.0,13.260124806366813,High Engagement,High Donation,Wisconsin,53711
56,3.0,0.0,0.0,3,150.0,19.99157721985217,High Engagement,High Donation,Wisconsin,53711
57,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53719
58,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53711
78,2.0,1.0,0.0,6,30000.0,42.59365792410566,High Engagement,High Donation,Texas,77407
86,0.0,0.0,0.0,3,155.39999999999998,19.890187209550223,High Engagement,High Donation,Wisconsin,53508
87,2.0,0.0,0.0,3,36.0,19.957780549751522,High Engagement,Low Donation,Wisconsin,53703
88,0.0,0.0,0.0,3,150.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53705
90,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53715
91,0.0,0.0,0.0,3,60.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53719
92,3.0,0.0,0.0,3,75.0,19.99157721985217,High Engagement,Low Donation,Illinois,60646
101,1.0,0.0,0.0,3,174.0,19.923983879650873,High Engagement,High Donation,Georgia,30308
102,4.666666666666667,0.0,0.0,3,932.67,20.047905003353257,High Engagement,High Donation,Wisconsin,53523
104,1.5,0.0,0.0,2,50.0,13.310819811517788,High Engagement,Low Donation,Florida,34110
105,2.5,0.0,0.0,3,300.0,19.974678884801847,High Engagement,High Donation,Wisconsin,53589
106,1.0,0.0,0.0,3,300.0,19.923983879650873,High Engagement,High Donation,WI,53701
107,6.666666666666667,0.0,0.0,3,900.0,20.11549834355456,High Engagement,High Donation,Wisconsin,53188
109,3.0,1.0,655063.0,4,560.0,29.184271407622948,High Engagement,High Donation,Wisconsin,53523
112,3.0,0.0,0.0,3,195.0,19.99157721985217,High Engagement,High Donation,Wisconsin,53528
113,0.0,0.0,0.0,3,720.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53703
114,0.0,0.0,0.0,5,1500.0,33.15031201591704,High Engagement,High Donation,Wisconsin,53523
115,0.0,0.0,0.0,4,4145.2,26.520249612733625,High Engagement,High Donation,Wisconsin,53711
116,16.25,1.0,639386.0,4,266.96,29.636458248633723,High Engagement,High Donation,Wisconsin,53037
120,1.0,0.0,0.0,3,1786.38,19.923983879650873,High Engagement,High Donation,Wisconsin,53703
127,1.0,0.0,0.0,3,937.47,19.923983879650873,High Engagement,High Donation,Texas,77407
128,2.0,0.0,0.0,3,225.0,19.957780549751522,High Engagement,High Donation,Wisconsin,53726
129,2.0,1.0,0.0,1,706.39,9.443345908188626,Low Engagement,High Donation,Virginia,22031
130,4.5,1.0,0.0,4,625.6,29.418024792990472,High Engagement,High Donation,Wisconsin,54501
131,4.0,1.0,0.0,3,750.0,22.771064054756742,High Engagement,High Donation,Wisconsin,53719
132,1.0,0.0,0.0,3,90.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53703
133,3.0,1.0,0.0,3,310.79999999999995,22.737267384656093,High Engagement,High Donation,Wisconsin,53593
134,0.0,0.0,0.0,3,600.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53593
135,0.0,0.0,0.0,3,150.0,19.890187209550223,High Engagement,High Donation,Wisconsin,54115
136,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53227
137,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53014
139,12.666666666666666,0.0,0.0,3,2798.0099999999998,20.31827836415846,High Engagement,High Donation,Wisconsin,53704
141,1.0,0.0,0.0,3,310.79999999999995,19.923983879650873,High Engagement,High Donation,Minnesota,55423
142,1.0,0.0,0.0,3,210.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53717
144,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53965
147,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53072
148,2.0,0.0,0.0,3,75.0,19.957780549751522,High Engagement,Low Donation,Wisconsin,53716
149,1.5,0.0,0.0,3,150.0,19.940882214701197,High Engagement,High Donation,Wisconsin,53704
154,1.0,0.0,0.0,3,75.0,19.923983879650873,High Engagement,Low Donation,Wisconsin,53718
162,2.0,0.0,0.0,3,450.0,19.957780549751522,High Engagement,High Donation,Wisconsin,53711
165,0.0,0.0,0.0,3,300.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53593
169,0.0,0.0,0.0,3,150.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53555
174,4.0,0.0,0.0,3,600.0,20.025373889952824,High Engagement,High Donation,Wisconsin,53572
176,26.0,1.0,482257.0,3,1500.0,23.37982332381489,High Engagement,High Donation,Wisconsin,53597
177,0.0,0.0,0.0,3,1500.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53713
178,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Illinois,61021
179,1.5,0.0,0.0,3,75.0,19.940882214701197,High Engagement,Low Donation,Wisconsin,53590
