Zip Code,PerCapitaPersonalIncome
59029,68244.0
59047,67131.0
59106,68959.0
59754,75313.0
60110,67922.0
60124,67922.0
60408,68225.0
60431,68225.0
60933,71035.0
60957,71035.0
66404,71607.0
66415,71607.0
67644,71198.0
67835,75419.0
67871,68367.0
68651,76182.0
68761,76372.0
68843,73733.0
68845,74630.0
68862,75469.0
68934,69182.0
68937,74113.0
68938,69182.0
69343,70339.0
73007,72954.0
77014,73862.0
77030,73862.0
77036,73862.0
77059,73862.0
77060,73862.0
77433,73862.0
78664,72828.0
78938,72230.0
79045,75549.0
79942,68799.0
80521,71359.0
81036,74467.0
81225,70391.0
82190,77015.0
82335,68521.0
82450,77015.0
82838,73622.0
83112,73432.0
84050,71630.0
84115,71787.0
85013,68111.0
85042,68111.0
85045,68111.0
85381,68111.0
93401,72721.0
95697,67778.0
95986,75539.0
97210,75772.0
98208,75320.0
98629,69318.0
98663,69318.0
99760,69573.0
99765,69573.0
99781,69573.0
21048,74895.0
21053,74738.0
33004,70982.0
33063,70982.0
33176,75182.0
33326,70982.0
33331,70982.0
33703,71904.0
33707,71904.0
34683,71904.0
34785,71231.0
44124,68360.0
44139,68360.0
44253,70562.0
45033,75833.0
45224,75833.0
45866,67802.0
49306,70662.0
49509,70662.0
49519,70662.0
49769,75812.0
51011,67668.0
51247,67668.0
53125,67665.0
55024,75019.0
56237,71912.0
56522,74577.0
56565,74577.0
56725,68190.0
56762,72481.0
57068,74873.0
57072,70996.0
57325,74055.0
57401,75470.0
57725,73485.0
58029,73185.0
58261,70222.0
58420,68370.0
58558,75321.0
1379,67327.0
1501,69301.0
1564,69301.0
3084,76187.0
3260,73531.0
3273,73531.0
3904,70640.0
3905,70640.0
4574,67794.0
4653,68181.0
5408,76222.0
6042,75433.0
6088,75433.0
6089,75433.0
6237,67916.0
6340,69755.0
6437,68387.0
7064,75352.0
12017,74642.0
12569,71391.0
15020,75468.0
15024,75468.0
15331,75091.0
15477,75091.0
16002,73039.0
16023,73039.0
16027,73039.0
18088,68050.0
19730,70792.0
20659,70353.0
21047,71196.0
21085,71196.0
23056,72439.0
23064,72439.0
24553,67990.0
28570,68500.0
28594,68500.0
30072,67811.0
30340,67811.0
93962,68943.0
95691,67778.0
96821,69893.0
97205,75772.0
97230,75772.0
98257,67173.0
98346,73841.0
57432,75470.0
93432,72721.0
93529,70699.0
1037,69301.0
1331,69301.0
1341,67327.0
1524,69301.0
3055,76187.0
3057,76187.0
3221,73531.0
3243,73531.0
3746,68216.0
4605,68181.0
6023,75433.0
6032,75433.0
6254,69755.0
6360,69755.0
6444,75433.0
6517,68387.0
6519,68387.0
6708,68387.0
7826,75364.0
8857,75352.0
12527,71391.0
15004,75091.0
15116,75468.0
15120,75468.0
15376,75091.0
15412,75091.0
16052,73039.0
16063,73039.0
17027,68998.0
18020,68050.0
21050,71196.0
21104,74895.0
21252,74738.0
21755,76664.0
22405,68098.0
23035,72439.0
23069,77005.0
23076,72439.0
24581,67990.0
28722,67589.0
30360,67811.0
33028,70982.0
33071,70982.0
33109,75182.0
33154,75182.0
33306,70982.0
35094,71275.0
35139,71275.0
