,Zip.Code,RUCC_2023
0,53538,4.0
1,53538,4.0
2,53538,4.0
3,53578,4.0
4,53578,4.0
5,53578,4.0
6,53578,4.0
7,53558,2.0
8,53558,2.0
9,53558,2.0
10,53558,2.0
11,53527,2.0
12,53527,2.0
13,53527,2.0
14,53529,2.0
15,53529,2.0
16,53529,2.0
17,53561,4.0
18,53561,4.0
19,53561,4.0
20,53715,2.0
21,53715,2.0
22,53715,2.0
23,53711,2.0
24,53711,2.0
25,53711,2.0
32,53523,2.0
33,53523,2.0
34,53523,2.0
35,53711,2.0
36,53711,2.0
37,53711,2.0
38,53711,2.0
39,53711,2.0
40,53719,2.0
41,53719,2.0
42,53719,2.0
43,53711,2.0
44,53711,2.0
45,53711,2.0
52,53508,2.0
53,53508,2.0
54,53508,2.0
55,53703,2.0
56,53703,2.0
57,53703,2.0
58,53705,2.0
59,53705,2.0
60,53705,2.0
61,53715,2.0
62,53715,2.0
63,53715,2.0
64,53719,2.0
65,53719,2.0
66,53719,2.0
73,53523,2.0
74,53523,2.0
75,53523,2.0
76,34110,2.0
77,34110,2.0
78,53589,2.0
79,53589,2.0
80,53589,2.0
87,53523,2.0
88,53523,2.0
89,53523,2.0
90,53523,2.0
91,53528,2.0
92,53528,2.0
93,53528,2.0
94,53703,2.0
95,53703,2.0
96,53703,2.0
97,53523,2.0
98,53523,2.0
99,53523,2.0
100,53523,2.0
101,53523,2.0
102,53711,2.0
103,53711,2.0
104,53711,2.0
105,53711,2.0
110,53703,2.0
111,53703,2.0
112,53703,2.0
116,53726,2.0
117,53726,2.0
118,53726,2.0
124,53719,2.0
125,53719,2.0
126,53719,2.0
127,53703,2.0
128,53703,2.0
129,53703,2.0
130,53593,2.0
131,53593,2.0
132,53593,2.0
133,53593,2.0
134,53593,2.0
135,53593,2.0
136,54115,2.0
137,54115,2.0
138,54115,2.0
145,53704,2.0
146,53704,2.0
147,53704,2.0
151,53717,2.0
152,53717,2.0
153,53717,2.0
154,53965,4.0
155,53965,4.0
156,53965,4.0
160,53716,2.0
161,53716,2.0
162,53716,2.0
163,53704,2.0
164,53704,2.0
165,53704,2.0
166,53718,2.0
167,53718,2.0
168,53718,2.0
169,53711,2.0
170,53711,2.0
171,53711,2.0
172,53593,2.0
173,53593,2.0
174,53593,2.0
175,53555,2.0
176,53555,2.0
177,53555,2.0
178,53572,2.0
179,53572,2.0
180,53572,2.0
181,53597,2.0
182,53597,2.0
183,53597,2.0
184,53713,2.0
185,53713,2.0
186,53713,2.0
190,53590,2.0
191,53590,2.0
192,53590,2.0
196,53717,2.0
197,53717,2.0
198,53717,2.0
199,53717,2.0
200,53717,2.0
201,53717,2.0
202,53555,2.0
203,53555,2.0
204,53555,2.0
205,53575,2.0
206,53575,2.0
207,53575,2.0
208,53508,2.0
209,53508,2.0
210,53508,2.0
211,53593,2.0
212,53593,2.0
213,53593,2.0
217,53711,2.0
218,53711,2.0
219,53562,2.0
220,53562,2.0
221,53562,2.0
222,53719,2.0
223,53719,2.0
224,53719,2.0
225,53719,2.0
226,53719,2.0
227,53719,2.0
228,53716,2.0
229,53716,2.0
230,53716,2.0
231,53574,2.0
232,53574,2.0
233,53574,2.0
234,53593,2.0
235,53593,2.0
236,53593,2.0
237,53578,4.0
238,53578,4.0
239,53578,4.0
240,53719,2.0
241,53719,2.0
242,53719,2.0
243,53572,2.0
244,53572,2.0
245,53572,2.0
246,53562,2.0
247,53562,2.0
248,53562,2.0
249,53703,2.0
250,53703,2.0
251,53703,2.0
252,53705,2.0
253,53705,2.0
254,53705,2.0
255,53719,2.0
256,53719,2.0
257,53719,2.0
258,53717,2.0
259,53717,2.0
260,53717,2.0
261,53713,2.0
262,53713,2.0
263,53713,2.0
264,53562,2.0
265,53562,2.0
266,53562,2.0
267,53593,2.0
268,53593,2.0
269,53593,2.0
270,53719,2.0
271,53719,2.0
272,53719,2.0
273,53717,2.0
274,53717,2.0
275,53717,2.0
276,53593,2.0
277,53593,2.0
278,53593,2.0
279,53711,2.0
280,53711,2.0
281,53711,2.0
282,53703,2.0
283,53703,2.0
284,53562,2.0
285,53562,2.0
286,53562,2.0
287,53703,2.0
288,53703,2.0
289,53703,2.0
290,53719,2.0
291,53719,2.0
292,53719,2.0
293,53711,2.0
294,53711,2.0
295,53711,2.0
296,53575,2.0
297,53575,2.0
298,53575,2.0
299,53711,2.0
300,53711,2.0
301,53711,2.0
302,53508,2.0
303,53508,2.0
304,53508,2.0
305,53726,2.0
306,53726,2.0
307,53726,2.0
308,53719,2.0
309,53719,2.0
310,53719,2.0
311,53713,2.0
312,53713,2.0
313,53713,2.0
314,53705,2.0
315,53705,2.0
316,53705,2.0
317,53703,2.0
318,53703,2.0
319,53703,2.0
320,53562,2.0
321,53562,2.0
322,53562,2.0
323,53711,2.0
324,53711,2.0
325,53711,2.0
326,53593,2.0
327,53593,2.0
328,53593,2.0
329,53703,2.0
330,53703,2.0
331,53703,2.0
332,53719,2.0
333,53719,2.0
334,53719,2.0
335,53711,2.0
336,53711,2.0
337,53711,2.0
338,53715,2.0
339,53715,2.0
340,53715,2.0
341,53593,2.0
342,53593,2.0
343,53593,2.0
344,53716,2.0
345,53716,2.0
346,53716,2.0
350,53703,2.0
351,53703,2.0
352,53703,2.0
353,53704,2.0
354,53704,2.0
355,53704,2.0
356,53719,2.0
357,53719,2.0
358,53719,2.0
359,53705,2.0
360,53705,2.0
361,53705,2.0
365,53704,2.0
366,53704,2.0
367,53704,2.0
368,53562,2.0
369,53562,2.0
370,53562,2.0
371,53716,2.0
372,53716,2.0
373,53716,2.0
374,53719,2.0
375,53719,2.0
376,53719,2.0
377,53562,2.0
378,53562,2.0
379,53711,2.0
380,53711,2.0
381,53711,2.0
382,53711,2.0
383,53711,2.0
384,53711,2.0
391,53558,2.0
392,53558,2.0
393,53558,2.0
394,53593,2.0
395,53593,2.0
396,53593,2.0
397,53590,2.0
398,53590,2.0
399,53590,2.0
400,53562,2.0
401,53562,2.0
402,53562,2.0
412,53703,2.0
413,53703,2.0
414,53703,2.0
415,53719,2.0
416,53719,2.0
417,53719,2.0
424,53713,2.0
425,53713,2.0
426,53713,2.0
427,53711,2.0
428,53711,2.0
429,53711,2.0
430,53532,2.0
431,53532,2.0
432,53532,2.0
433,53711,2.0
434,53711,2.0
435,53711,2.0
436,53711,2.0
437,53520,2.0
438,53520,2.0
439,53520,2.0
440,53718,2.0
441,53718,2.0
442,53718,2.0
443,53597,2.0
444,53597,2.0
445,53597,2.0
446,53711,2.0
447,53711,2.0
448,53711,2.0
452,53711,2.0
453,53711,2.0
454,53711,2.0
455,53711,2.0
456,53711,2.0
457,53711,2.0
458,53593,2.0
459,53593,2.0
460,53593,2.0
461,53959,4.0
462,53959,4.0
463,53959,4.0
464,53714,2.0
465,53714,2.0
466,53714,2.0
467,53711,2.0
468,53711,2.0
469,53711,2.0
470,53558,2.0
471,53558,2.0
472,53558,2.0
473,53705,2.0
474,53705,2.0
475,53705,2.0
476,53705,2.0
477,53705,2.0
478,53705,2.0
479,53705,2.0
480,53705,2.0
481,53704,2.0
482,53704,2.0
483,53704,2.0
484,53711,2.0
485,53711,2.0
486,53711,2.0
487,53593,2.0
488,53593,2.0
489,53593,2.0
490,53551,4.0
491,53551,4.0
492,53551,4.0
493,53593,2.0
494,53593,2.0
495,53593,2.0
496,53717,2.0
497,53717,2.0
498,53717,2.0
499,53705,2.0
500,53705,2.0
501,53705,2.0
502,53589,2.0
503,53589,2.0
504,53589,2.0
505,53711,2.0
506,53711,2.0
507,53711,2.0
508,53562,2.0
509,53562,2.0
510,53562,2.0
511,53711,2.0
512,53711,2.0
513,53711,2.0
514,53593,2.0
515,53593,2.0
516,53593,2.0
517,53704,2.0
518,53704,2.0
519,53704,2.0
520,53711,2.0
521,53711,2.0
522,53711,2.0
523,53597,2.0
524,53597,2.0
525,53597,2.0
526,53717,2.0
527,53717,2.0
528,53717,2.0
529,53562,2.0
530,53562,2.0
531,53562,2.0
532,53711,2.0
533,53711,2.0
534,53711,2.0
535,53704,2.0
536,53704,2.0
537,53704,2.0
538,53711,2.0
539,53711,2.0
540,53711,2.0
541,53705,2.0
542,53705,2.0
543,53705,2.0
544,53703,2.0
545,53703,2.0
546,53703,2.0
547,53718,2.0
548,53718,2.0
549,53718,2.0
550,53704,2.0
551,53704,2.0
552,53704,2.0
553,53562,2.0
554,53562,2.0
555,53562,2.0
556,53590,2.0
557,53590,2.0
558,53590,2.0
559,53593,2.0
560,53593,2.0
561,53593,2.0
562,53704,2.0
563,53704,2.0
564,53704,2.0
565,53597,2.0
566,53597,2.0
567,53597,2.0
568,53593,2.0
569,53593,2.0
570,53593,2.0
571,53711,2.0
572,53711,2.0
573,53711,2.0
574,53713,2.0
575,53713,2.0
576,53713,2.0
577,53562,2.0
578,53562,2.0
579,53562,2.0
583,53717,2.0
584,53717,2.0
585,53717,2.0
586,53562,2.0
587,53562,2.0
588,53562,2.0
595,53705,2.0
596,53705,2.0
597,53705,2.0
598,53562,2.0
599,53562,2.0
600,53562,2.0
601,53705,2.0
602,53705,2.0
603,53705,2.0
604,53590,2.0
605,53590,2.0
606,53590,2.0
607,53575,2.0
608,53575,2.0
609,53575,2.0
610,53711,2.0
611,53711,2.0
612,53711,2.0
613,53719,2.0
614,53704,2.0
615,53704,2.0
616,53704,2.0
617,53704,2.0
618,53704,2.0
619,53704,2.0
620,53717,2.0
621,53717,2.0
622,53717,2.0
623,53916,4.0
624,53916,4.0
625,53916,4.0
626,53713,2.0
627,53713,2.0
628,53713,2.0
629,53562,2.0
630,53562,2.0
631,53562,2.0
632,53711,2.0
633,53711,2.0
634,53711,2.0
635,53716,2.0
636,53716,2.0
637,53716,2.0
638,53901,2.0
639,53901,2.0
640,53901,2.0
641,53508,2.0
642,53508,2.0
643,53508,2.0
644,53704,2.0
645,53704,2.0
646,53704,2.0
647,53583,4.0
648,53583,4.0
649,53583,4.0
650,53590,2.0
651,53590,2.0
652,53711,2.0
653,53711,2.0
654,53711,2.0
655,53705,2.0
656,53705,2.0
657,53705,2.0
658,53590,2.0
659,53590,2.0
660,53590,2.0
661,53597,2.0
662,53597,2.0
663,53597,2.0
664,53575,2.0
665,53575,2.0
666,53575,2.0
670,53704,2.0
671,53704,2.0
672,53716,2.0
673,53716,2.0
674,53704,2.0
675,53704,2.0
676,53593,2.0
677,53593,2.0
678,53523,2.0
679,53523,2.0
684,53572,2.0
685,53572,2.0
686,53711,2.0
687,53711,2.0
688,53704,2.0
689,53704,2.0
690,53711,2.0
691,53711,2.0
692,53703,2.0
693,53703,2.0
696,53714,2.0
697,53714,2.0
698,53704,2.0
699,53704,2.0
701,53719,2.0
702,53719,2.0
703,53517,2.0
704,53517,2.0
705,53593,2.0
706,53593,2.0
707,53704,2.0
708,53704,2.0
709,53705,2.0
710,53705,2.0
711,53532,2.0
712,53532,2.0
715,53597,2.0
716,53597,2.0
717,53716,2.0
718,53716,2.0
719,53716,2.0
