,Zip Code,Population,Density,RUCC_2023,PerCapitaPersonalIncome
0,58784,3528.0,4.2,8.0,80515
1,59029,847.0,3.2,3.0,68244
2,59047,12728.0,5.5,6.0,67131
3,59072,4328.0,1.7,8.0,51852
4,59106,18281.0,72.7,3.0,68959
5,59253,78.0,0.1,9.0,60973
6,59404,27576.0,29.4,3.0,60126
7,59414,923.0,214.4,3.0,60126
8,59450,555.0,0.6,8.0,56448
9,59482,689.0,0.8,9.0,64617
10,59642,44.0,0.1,8.0,57679
11,59754,1084.0,1.4,8.0,75313
12,60022,8471.0,830.4,1.0,77937
13,60061,26967.0,1307.2,1.0,99895
14,60070,15908.0,1701.0,1.0,77937
15,60110,38984.0,1691.5,1.0,67922
16,60113,307.0,762.1,6.0,57128
17,60124,22074.0,223.0,1.0,67922
18,60178,22374.0,124.6,1.0,53309
19,60408,5528.0,285.6,1.0,68225
20,60422,9941.0,911.7,1.0,77937
21,60431,24202.0,687.7,1.0,68225
22,60470,542.0,5.6,4.0,56311
23,60480,5151.0,340.9,1.0,77937
24,60560,25140.0,124.9,1.0,61717
25,60714,29520.0,1791.6,1.0,77937
26,60926,42.0,5.9,8.0,57912
27,60933,272.0,51.9,3.0,71035
28,60957,5311.0,20.6,3.0,71035
29,61027,73.0,109.5,4.0,54743
30,61472,608.0,5.9,4.0,49682
31,61480,1171.0,7.1,9.0,56375
32,61524,300.0,486.4,6.0,50832
33,61528,2987.0,63.2,2.0,62066
34,61563,509.0,563.7,6.0,50832
35,61749,535.0,6.4,6.0,58783
36,62014,4063.0,26.4,1.0,54510
37,62083,167.0,3.3,6.0,52047
38,62233,9521.0,56.3,6.0,48860
39,62237,2398.0,9.6,6.0,48860
40,62305,19081.0,53.2,5.0,59776
41,62374,337.0,5.7,7.0,50246
42,62378,1047.0,6.0,9.0,48654
43,62424,2421.0,10.8,7.0,67028
44,62540,1549.0,290.1,6.0,52047
45,62622,42.0,8.7,6.0,52006
46,62644,4921.0,18.4,8.0,57624
47,62673,416.0,5.1,3.0,59630
48,62931,1484.0,5.6,9.0,55331
49,62956,940.0,14.0,8.0,47344
